,trial,episode,reward,total_reward,total_steps,steps
0,0,0,-15,-15,15,15
1,0,1,-59,-74,74,59
2,0,2,0,-74,74,0
3,0,3,-43,-117,117,43
4,0,4,-114,-231,231,114
5,0,5,-166,-397,397,166
6,0,6,-81,-478,478,81
7,0,7,-46,-524,524,46
8,0,8,-8,-532,532,8
9,0,9,-27,-559,559,27
10,0,10,-4,-563,563,4
11,0,11,-25,-588,588,25
12,0,12,-14,-602,602,14
13,0,13,-60,-662,662,60
14,0,14,-53,-715,715,53
15,0,15,-53,-768,768,53
16,0,16,-48,-816,816,48
17,0,17,-117,-933,933,117
18,0,18,-9,-942,942,9
19,0,19,-112,-1054,1054,112
20,0,20,-83,-1137,1137,83
21,0,21,-154,-1291,1291,154
22,0,22,-201,-1492,1492,201
23,0,23,-45,-1537,1537,45
24,0,24,-64,-1601,1601,64
25,0,25,-72,-1673,1673,72
26,0,26,-141,-1814,1814,141
27,0,27,-22,-1836,1836,22
28,0,28,-98,-1934,1934,98
29,0,29,-8,-1942,1942,8
30,0,30,-39,-1981,1981,39
31,0,31,-1,-1982,1982,1
32,0,32,-111,-2093,2093,111
33,0,33,-64,-2157,2157,64
34,0,34,-50,-2207,2207,50
35,0,35,-39,-2246,2246,39
36,0,36,-88,-2334,2334,88
37,0,37,-37,-2371,2371,37
38,0,38,-96,-2467,2467,96
39,0,39,-28,-2495,2495,28
40,0,40,-14,-2509,2509,14
41,0,41,-21,-2530,2530,21
42,0,42,-59,-2589,2589,59
43,0,43,-33,-2622,2622,33
44,0,44,0,-2622,2622,0
45,0,45,-57,-2679,2679,57
46,0,46,-325,-3004,3004,325
47,0,47,-48,-3052,3052,48
48,0,48,-79,-3131,3131,79
49,0,49,-23,-3154,3154,23
50,0,50,-522,-3676,3676,522
51,0,51,-110,-3786,3786,110
52,0,52,-85,-3871,3871,85
53,0,53,-135,-4006,4006,135
54,0,54,-263,-4269,4269,263
55,0,55,-241,-4510,4510,241
56,0,56,-11,-4521,4521,11
57,0,57,-3,-4524,4524,3
58,0,58,-163,-4687,4687,163
59,0,59,-166,-4853,4853,166
60,0,60,-19,-4872,4872,19
61,0,61,-122,-4994,4994,122
62,0,62,-1,-4995,4995,1
63,0,63,-77,-5072,5072,77
64,0,64,-1,-5073,5073,1
65,0,65,-65,-5138,5138,65
66,0,66,-23,-5161,5161,23
67,0,67,-47,-5208,5208,47
68,0,68,-19,-5227,5227,19
69,0,69,-385,-5612,5612,385
70,0,70,-233,-5845,5845,233
71,0,71,-49,-5894,5894,49
72,0,72,-82,-5976,5976,82
73,0,73,-231,-6207,6207,231
74,0,74,-91,-6298,6298,91
75,0,75,-226,-6524,6524,226
76,0,76,-272,-6796,6796,272
77,0,77,-80,-6876,6876,80
78,0,78,-171,-7047,7047,171
79,0,79,-45,-7092,7092,45
80,0,80,-107,-7199,7199,107
81,0,81,-139,-7338,7338,139
82,0,82,-29,-7367,7367,29
83,0,83,-39,-7406,7406,39
84,0,84,-26,-7432,7432,26
85,0,85,-16,-7448,7448,16
86,0,86,-28,-7476,7476,28
87,0,87,-117,-7593,7593,117
88,0,88,-52,-7645,7645,52
89,0,89,-107,-7752,7752,107
90,0,90,-92,-7844,7844,92
91,0,91,-23,-7867,7867,23
92,0,92,-84,-7951,7951,84
93,0,93,-56,-8007,8007,56
94,0,94,-32,-8039,8039,32
95,0,95,-167,-8206,8206,167
96,0,96,-38,-8244,8244,38
97,0,97,-462,-8706,8706,462
98,0,98,-1,-8707,8707,1
99,0,99,-89,-8796,8796,89
