,trial,episode,reward,total_reward,total_steps,steps
0,0,0,-30,-30,30,30
1,0,1,-706,-736,736,706
2,0,2,-13,-749,749,13
3,0,3,-120,-869,869,120
4,0,4,-189,-1058,1058,189
5,0,5,-330,-1388,1388,330
6,0,6,-87,-1475,1475,87
7,0,7,-7,-1482,1482,7
8,0,8,0,-1482,1482,0
9,0,9,-35,-1517,1517,35
10,0,10,-87,-1604,1604,87
11,0,11,-102,-1706,1706,102
12,0,12,-3,-1709,1709,3
13,0,13,-159,-1868,1868,159
14,0,14,-19,-1887,1887,19
15,0,15,-87,-1974,1974,87
16,0,16,-51,-2025,2025,51
17,0,17,-70,-2095,2095,70
18,0,18,-88,-2183,2183,88
19,0,19,-19,-2202,2202,19
20,0,20,-133,-2335,2335,133
21,0,21,-49,-2384,2384,49
22,0,22,-20,-2404,2404,20
23,0,23,-41,-2445,2445,41
24,0,24,-14,-2459,2459,14
25,0,25,0,-2459,2459,0
26,0,26,-6,-2465,2465,6
27,0,27,-44,-2509,2509,44
28,0,28,-16,-2525,2525,16
29,0,29,-46,-2571,2571,46
30,0,30,-26,-2597,2597,26
31,0,31,-24,-2621,2621,24
32,0,32,-2,-2623,2623,2
33,0,33,-16,-2639,2639,16
34,0,34,-27,-2666,2666,27
35,0,35,-38,-2704,2704,38
36,0,36,-6,-2710,2710,6
37,0,37,-37,-2747,2747,37
38,0,38,-17,-2764,2764,17
39,0,39,-49,-2813,2813,49
40,0,40,-16,-2829,2829,16
41,0,41,-36,-2865,2865,36
42,0,42,-26,-2891,2891,26
43,0,43,-23,-2914,2914,23
44,0,44,-8,-2922,2922,8
45,0,45,-3,-2925,2925,3
46,0,46,-15,-2940,2940,15
47,0,47,-42,-2982,2982,42
48,0,48,-29,-3011,3011,29
49,0,49,-66,-3077,3077,66
50,0,50,-35,-3112,3112,35
51,0,51,-87,-3199,3199,87
52,0,52,-37,-3236,3236,37
53,0,53,-28,-3264,3264,28
54,0,54,0,-3264,3264,0
55,0,55,-46,-3310,3310,46
56,0,56,-53,-3363,3363,53
57,0,57,-2,-3365,3365,2
58,0,58,-20,-3385,3385,20
59,0,59,-16,-3401,3401,16
60,0,60,-48,-3449,3449,48
61,0,61,-11,-3460,3460,11
62,0,62,-5,-3465,3465,5
63,0,63,-21,-3486,3486,21
64,0,64,-8,-3494,3494,8
65,0,65,-18,-3512,3512,18
66,0,66,-14,-3526,3526,14
67,0,67,-55,-3581,3581,55
68,0,68,-21,-3602,3602,21
69,0,69,-2,-3604,3604,2
70,0,70,-5,-3609,3609,5
71,0,71,-16,-3625,3625,16
72,0,72,-11,-3636,3636,11
73,0,73,-19,-3655,3655,19
74,0,74,-32,-3687,3687,32
75,0,75,-3,-3690,3690,3
76,0,76,-97,-3787,3787,97
77,0,77,-15,-3802,3802,15
78,0,78,-8,-3810,3810,8
79,0,79,-3,-3813,3813,3
80,0,80,-26,-3839,3839,26
81,0,81,-18,-3857,3857,18
82,0,82,-4,-3861,3861,4
83,0,83,-31,-3892,3892,31
84,0,84,-87,-3979,3979,87
85,0,85,-7,-3986,3986,7
86,0,86,-6,-3992,3992,6
87,0,87,-6,-3998,3998,6
88,0,88,-22,-4020,4020,22
89,0,89,-8,-4028,4028,8
90,0,90,-1,-4029,4029,1
91,0,91,-23,-4052,4052,23
92,0,92,-4,-4056,4056,4
93,0,93,-79,-4135,4135,79
94,0,94,-1,-4136,4136,1
95,0,95,0,-4136,4136,0
96,0,96,-18,-4154,4154,18
97,0,97,-13,-4167,4167,13
98,0,98,-34,-4201,4201,34
99,0,99,-37,-4238,4238,37
