,trial,episode,reward,total_reward,total_steps,steps
0,0,0,-573,-573,573,573
1,0,1,-21,-594,594,21
2,0,2,-188,-782,782,188
3,0,3,-68,-850,850,68
4,0,4,-48,-898,898,48
5,0,5,-153,-1051,1051,153
6,0,6,-64,-1115,1115,64
7,0,7,-4,-1119,1119,4
8,0,8,-2,-1121,1121,2
9,0,9,-6,-1127,1127,6
10,0,10,-7,-1134,1134,7
11,0,11,-38,-1172,1172,38
12,0,12,-47,-1219,1219,47
13,0,13,-83,-1302,1302,83
14,0,14,-71,-1373,1373,71
15,0,15,-54,-1427,1427,54
16,0,16,-14,-1441,1441,14
17,0,17,-5,-1446,1446,5
18,0,18,-8,-1454,1454,8
19,0,19,-44,-1498,1498,44
20,0,20,-27,-1525,1525,27
21,0,21,-28,-1553,1553,28
22,0,22,-65,-1618,1618,65
23,0,23,-4,-1622,1622,4
24,0,24,-6,-1628,1628,6
25,0,25,-36,-1664,1664,36
26,0,26,-73,-1737,1737,73
27,0,27,0,-1737,1737,0
28,0,28,-13,-1750,1750,13
29,0,29,-30,-1780,1780,30
30,0,30,-22,-1802,1802,22
31,0,31,-12,-1814,1814,12
32,0,32,-10,-1824,1824,10
33,0,33,-19,-1843,1843,19
34,0,34,-20,-1863,1863,20
35,0,35,-4,-1867,1867,4
36,0,36,-14,-1881,1881,14
37,0,37,-8,-1889,1889,8
38,0,38,-16,-1905,1905,16
39,0,39,-17,-1922,1922,17
40,0,40,-1,-1923,1923,1
41,0,41,-6,-1929,1929,6
42,0,42,-9,-1938,1938,9
43,0,43,-3,-1941,1941,3
44,0,44,-2,-1943,1943,2
45,0,45,-64,-2007,2007,64
46,0,46,-1,-2008,2008,1
47,0,47,-11,-2019,2019,11
48,0,48,-10,-2029,2029,10
49,0,49,-6,-2035,2035,6
50,0,50,-12,-2047,2047,12
51,0,51,-11,-2058,2058,11
52,0,52,-22,-2080,2080,22
53,0,53,-19,-2099,2099,19
54,0,54,-4,-2103,2103,4
55,0,55,-31,-2134,2134,31
56,0,56,-23,-2157,2157,23
57,0,57,-3,-2160,2160,3
58,0,58,-38,-2198,2198,38
59,0,59,-12,-2210,2210,12
60,0,60,-17,-2227,2227,17
61,0,61,-63,-2290,2290,63
62,0,62,-42,-2332,2332,42
63,0,63,-3,-2335,2335,3
64,0,64,-7,-2342,2342,7
65,0,65,-42,-2384,2384,42
66,0,66,0,-2384,2384,0
67,0,67,-20,-2404,2404,20
68,0,68,-5,-2409,2409,5
69,0,69,-35,-2444,2444,35
70,0,70,-29,-2473,2473,29
71,0,71,-50,-2523,2523,50
72,0,72,-13,-2536,2536,13
73,0,73,-8,-2544,2544,8
74,0,74,-28,-2572,2572,28
75,0,75,-4,-2576,2576,4
76,0,76,-34,-2610,2610,34
77,0,77,-12,-2622,2622,12
78,0,78,-35,-2657,2657,35
79,0,79,-13,-2670,2670,13
80,0,80,-45,-2715,2715,45
81,0,81,-14,-2729,2729,14
82,0,82,-2,-2731,2731,2
83,0,83,-60,-2791,2791,60
84,0,84,-3,-2794,2794,3
85,0,85,0,-2794,2794,0
86,0,86,-1,-2795,2795,1
87,0,87,-5,-2800,2800,5
88,0,88,-50,-2850,2850,50
89,0,89,-10,-2860,2860,10
90,0,90,-3,-2863,2863,3
91,0,91,-13,-2876,2876,13
92,0,92,-34,-2910,2910,34
93,0,93,-4,-2914,2914,4
94,0,94,-64,-2978,2978,64
95,0,95,-41,-3019,3019,41
96,0,96,0,-3019,3019,0
97,0,97,-2,-3021,3021,2
98,0,98,-2,-3023,3023,2
99,0,99,-1,-3024,3024,1
