,trial,episode,reward,total_reward,total_steps,steps
0,0,0,-53,-53,53,53
1,0,1,-81,-134,134,81
2,0,2,-167,-301,301,167
3,0,3,-135,-436,436,135
4,0,4,-35,-471,471,35
5,0,5,-24,-495,495,24
6,0,6,-3,-498,498,3
7,0,7,-79,-577,577,79
8,0,8,-41,-618,618,41
9,0,9,-105,-723,723,105
10,0,10,-21,-744,744,21
11,0,11,-40,-784,784,40
12,0,12,-62,-846,846,62
13,0,13,-77,-923,923,77
14,0,14,-37,-960,960,37
15,0,15,-76,-1036,1036,76
16,0,16,-35,-1071,1071,35
17,0,17,-18,-1089,1089,18
18,0,18,-12,-1101,1101,12
19,0,19,-3,-1104,1104,3
20,0,20,-26,-1130,1130,26
21,0,21,-8,-1138,1138,8
22,0,22,-3,-1141,1141,3
23,0,23,-4,-1145,1145,4
24,0,24,-40,-1185,1185,40
25,0,25,-11,-1196,1196,11
26,0,26,-13,-1209,1209,13
27,0,27,-36,-1245,1245,36
28,0,28,-74,-1319,1319,74
29,0,29,-12,-1331,1331,12
30,0,30,-6,-1337,1337,6
31,0,31,0,-1337,1337,0
32,0,32,-8,-1345,1345,8
33,0,33,-17,-1362,1362,17
34,0,34,-8,-1370,1370,8
35,0,35,-30,-1400,1400,30
36,0,36,-30,-1430,1430,30
37,0,37,-33,-1463,1463,33
38,0,38,-19,-1482,1482,19
39,0,39,-3,-1485,1485,3
40,0,40,-9,-1494,1494,9
41,0,41,-1,-1495,1495,1
42,0,42,-26,-1521,1521,26
43,0,43,-5,-1526,1526,5
44,0,44,-3,-1529,1529,3
45,0,45,-21,-1550,1550,21
46,0,46,-1,-1551,1551,1
47,0,47,-6,-1557,1557,6
48,0,48,-3,-1560,1560,3
49,0,49,-3,-1563,1563,3
50,0,50,-16,-1579,1579,16
51,0,51,-7,-1586,1586,7
52,0,52,-1,-1587,1587,1
53,0,53,0,-1587,1587,0
54,0,54,-25,-1612,1612,25
55,0,55,-17,-1629,1629,17
56,0,56,-4,-1633,1633,4
57,0,57,-5,-1638,1638,5
58,0,58,-3,-1641,1641,3
59,0,59,-2,-1643,1643,2
60,0,60,-24,-1667,1667,24
61,0,61,-10,-1677,1677,10
62,0,62,-3,-1680,1680,3
63,0,63,-18,-1698,1698,18
64,0,64,-4,-1702,1702,4
65,0,65,-7,-1709,1709,7
66,0,66,-8,-1717,1717,8
67,0,67,-12,-1729,1729,12
68,0,68,-9,-1738,1738,9
69,0,69,-2,-1740,1740,2
70,0,70,-2,-1742,1742,2
71,0,71,-29,-1771,1771,29
72,0,72,-10,-1781,1781,10
73,0,73,-11,-1792,1792,11
74,0,74,-5,-1797,1797,5
75,0,75,-6,-1803,1803,6
76,0,76,-1,-1804,1804,1
77,0,77,-8,-1812,1812,8
78,0,78,-2,-1814,1814,2
79,0,79,-9,-1823,1823,9
80,0,80,-9,-1832,1832,9
81,0,81,-1,-1833,1833,1
82,0,82,0,-1833,1833,0
83,0,83,-9,-1842,1842,9
84,0,84,-27,-1869,1869,27
85,0,85,-3,-1872,1872,3
86,0,86,-21,-1893,1893,21
87,0,87,-18,-1911,1911,18
88,0,88,-10,-1921,1921,10
89,0,89,-8,-1929,1929,8
90,0,90,-5,-1934,1934,5
91,0,91,-25,-1959,1959,25
92,0,92,-12,-1971,1971,12
93,0,93,-9,-1980,1980,9
94,0,94,-10,-1990,1990,10
95,0,95,-18,-2008,2008,18
96,0,96,-16,-2024,2024,16
97,0,97,-21,-2045,2045,21
98,0,98,-10,-2055,2055,10
99,0,99,-4,-2059,2059,4
