,trial,episode,reward,total_reward,total_steps,steps
0,0,0,-44,-44,44,44
1,0,1,-24,-68,68,24
2,0,2,-4,-72,72,4
3,0,3,-57,-129,129,57
4,0,4,-112,-241,241,112
5,0,5,-220,-461,461,220
6,0,6,-5,-466,466,5
7,0,7,-145,-611,611,145
8,0,8,-84,-695,695,84
9,0,9,-28,-723,723,28
10,0,10,-7,-730,730,7
11,0,11,-7,-737,737,7
12,0,12,-11,-748,748,11
13,0,13,-24,-772,772,24
14,0,14,-49,-821,821,49
15,0,15,-86,-907,907,86
16,0,16,0,-907,907,0
17,0,17,-209,-1116,1116,209
18,0,18,-20,-1136,1136,20
19,0,19,-2,-1138,1138,2
20,0,20,-23,-1161,1161,23
21,0,21,-42,-1203,1203,42
22,0,22,-103,-1306,1306,103
23,0,23,-1,-1307,1307,1
24,0,24,-146,-1453,1453,146
25,0,25,-17,-1470,1470,17
26,0,26,-66,-1536,1536,66
27,0,27,-77,-1613,1613,77
28,0,28,-17,-1630,1630,17
29,0,29,-45,-1675,1675,45
30,0,30,-19,-1694,1694,19
31,0,31,-55,-1749,1749,55
32,0,32,-31,-1780,1780,31
33,0,33,-19,-1799,1799,19
34,0,34,-60,-1859,1859,60
35,0,35,0,-1859,1859,0
36,0,36,-77,-1936,1936,77
37,0,37,-18,-1954,1954,18
38,0,38,-37,-1991,1991,37
39,0,39,0,-1991,1991,0
40,0,40,-107,-2098,2098,107
41,0,41,-41,-2139,2139,41
42,0,42,-73,-2212,2212,73
43,0,43,-5,-2217,2217,5
44,0,44,-4,-2221,2221,4
45,0,45,-10,-2231,2231,10
46,0,46,-8,-2239,2239,8
47,0,47,-8,-2247,2247,8
48,0,48,-45,-2292,2292,45
49,0,49,-19,-2311,2311,19
50,0,50,-10,-2321,2321,10
51,0,51,-32,-2353,2353,32
52,0,52,-33,-2386,2386,33
53,0,53,-14,-2400,2400,14
54,0,54,-1,-2401,2401,1
55,0,55,-55,-2456,2456,55
56,0,56,-11,-2467,2467,11
57,0,57,-41,-2508,2508,41
58,0,58,-172,-2680,2680,172
59,0,59,-5,-2685,2685,5
60,0,60,-29,-2714,2714,29
61,0,61,-22,-2736,2736,22
62,0,62,-175,-2911,2911,175
63,0,63,-46,-2957,2957,46
64,0,64,-1,-2958,2958,1
65,0,65,-149,-3107,3107,149
66,0,66,-66,-3173,3173,66
67,0,67,-315,-3488,3488,315
68,0,68,-55,-3543,3543,55
69,0,69,-19,-3562,3562,19
70,0,70,-116,-3678,3678,116
71,0,71,-34,-3712,3712,34
72,0,72,-3,-3715,3715,3
73,0,73,-20,-3735,3735,20
74,0,74,-140,-3875,3875,140
75,0,75,-82,-3957,3957,82
76,0,76,0,-3957,3957,0
77,0,77,-107,-4064,4064,107
78,0,78,-21,-4085,4085,21
79,0,79,-12,-4097,4097,12
80,0,80,-83,-4180,4180,83
81,0,81,-22,-4202,4202,22
82,0,82,-54,-4256,4256,54
83,0,83,-97,-4353,4353,97
84,0,84,-48,-4401,4401,48
85,0,85,-85,-4486,4486,85
86,0,86,-18,-4504,4504,18
87,0,87,-67,-4571,4571,67
88,0,88,-23,-4594,4594,23
89,0,89,-96,-4690,4690,96
90,0,90,-157,-4847,4847,157
91,0,91,-33,-4880,4880,33
92,0,92,-22,-4902,4902,22
93,0,93,-37,-4939,4939,37
94,0,94,-44,-4983,4983,44
95,0,95,-79,-5062,5062,79
96,0,96,-6,-5068,5068,6
97,0,97,-68,-5136,5136,68
98,0,98,-1,-5137,5137,1
99,0,99,-33,-5170,5170,33
