,trial,episode,reward,total_reward,total_steps,steps
0,0,0,-10,-10,10,10
1,0,1,-3,-13,13,3
2,0,2,-8,-21,21,8
3,0,3,-66,-87,87,66
4,0,4,-7,-94,94,7
5,0,5,-1,-95,95,1
6,0,6,-62,-157,157,62
7,0,7,-6,-163,163,6
8,0,8,-42,-205,205,42
9,0,9,-77,-282,282,77
10,0,10,-49,-331,331,49
11,0,11,-109,-440,440,109
12,0,12,-2,-442,442,2
13,0,13,-20,-462,462,20
14,0,14,-176,-638,638,176
15,0,15,-34,-672,672,34
16,0,16,-25,-697,697,25
17,0,17,-30,-727,727,30
18,0,18,-6,-733,733,6
19,0,19,-25,-758,758,25
20,0,20,-67,-825,825,67
21,0,21,-16,-841,841,16
22,0,22,-50,-891,891,50
23,0,23,-28,-919,919,28
24,0,24,-17,-936,936,17
25,0,25,-3,-939,939,3
26,0,26,-1,-940,940,1
27,0,27,-27,-967,967,27
28,0,28,-36,-1003,1003,36
29,0,29,-32,-1035,1035,32
30,0,30,-8,-1043,1043,8
31,0,31,-10,-1053,1053,10
32,0,32,-14,-1067,1067,14
33,0,33,-3,-1070,1070,3
34,0,34,-38,-1108,1108,38
35,0,35,-8,-1116,1116,8
36,0,36,-6,-1122,1122,6
37,0,37,-52,-1174,1174,52
38,0,38,-4,-1178,1178,4
39,0,39,-13,-1191,1191,13
40,0,40,-28,-1219,1219,28
41,0,41,-70,-1289,1289,70
42,0,42,-5,-1294,1294,5
43,0,43,-5,-1299,1299,5
44,0,44,-3,-1302,1302,3
45,0,45,-10,-1312,1312,10
46,0,46,-1,-1313,1313,1
47,0,47,-1,-1314,1314,1
48,0,48,-1,-1315,1315,1
49,0,49,-11,-1326,1326,11
50,0,50,-8,-1334,1334,8
51,0,51,-3,-1337,1337,3
52,0,52,-6,-1343,1343,6
53,0,53,-6,-1349,1349,6
54,0,54,-32,-1381,1381,32
55,0,55,-4,-1385,1385,4
56,0,56,-34,-1419,1419,34
57,0,57,-16,-1435,1435,16
58,0,58,-7,-1442,1442,7
59,0,59,-4,-1446,1446,4
60,0,60,-27,-1473,1473,27
61,0,61,-28,-1501,1501,28
62,0,62,-6,-1507,1507,6
63,0,63,-5,-1512,1512,5
64,0,64,-13,-1525,1525,13
65,0,65,-14,-1539,1539,14
66,0,66,-19,-1558,1558,19
67,0,67,-7,-1565,1565,7
68,0,68,-11,-1576,1576,11
69,0,69,-11,-1587,1587,11
70,0,70,-28,-1615,1615,28
71,0,71,-2,-1617,1617,2
72,0,72,-3,-1620,1620,3
73,0,73,-22,-1642,1642,22
74,0,74,-18,-1660,1660,18
75,0,75,-11,-1671,1671,11
76,0,76,-6,-1677,1677,6
77,0,77,-7,-1684,1684,7
78,0,78,-10,-1694,1694,10
79,0,79,0,-1694,1694,0
80,0,80,-3,-1697,1697,3
81,0,81,-6,-1703,1703,6
82,0,82,-2,-1705,1705,2
83,0,83,-1,-1706,1706,1
84,0,84,-34,-1740,1740,34
85,0,85,0,-1740,1740,0
86,0,86,-14,-1754,1754,14
87,0,87,-9,-1763,1763,9
88,0,88,-15,-1778,1778,15
89,0,89,-9,-1787,1787,9
90,0,90,-18,-1805,1805,18
91,0,91,-2,-1807,1807,2
92,0,92,-3,-1810,1810,3
93,0,93,-10,-1820,1820,10
94,0,94,-3,-1823,1823,3
95,0,95,-8,-1831,1831,8
96,0,96,-6,-1837,1837,6
97,0,97,-1,-1838,1838,1
98,0,98,-1,-1839,1839,1
99,0,99,-5,-1844,1844,5
